predictor,n,diagnosis,score_fun,score
DNN,0,NORM,Precision,0.6614929785661493
DNN,0,NORM,Recall,0.975583864118896
DNN,0,NORM,Specificity,0.6164154103852596
DNN,0,NORM,F1 score,0.7892416225749559
DNN,0,CD,Precision,0.6469387755102041
DNN,0,CD,Recall,0.8590425531914894
DNN,0,CD,Specificity,0.9029605263157895
DNN,0,CD,F1 score,0.7540983606557377
DNN,0,HYP,Precision,0.4785992217898833
DNN,0,HYP,Recall,0.6346153846153846
DNN,0,HYP,Specificity,0.9254941713127217
DNN,0,HYP,F1 score,0.5761124121779859
DNN,0,MI,Precision,0.4444444444444444
DNN,0,MI,Recall,0.4107142857142857
DNN,0,MI,Specificity,0.9370594159113796
DNN,0,MI,F1 score,0.4416243654822335
DNN,0,STTC,Precision,0.4621212121212121
DNN,0,STTC,Recall,0.32160804020100503
DNN,0,STTC,Specificity,0.9592445328031809
DNN,0,STTC,F1 score,0.3843843843843844
DNN,1,NORM,Precision,0.6649446494464945
DNN,1,NORM,Recall,0.9769392033542977
DNN,1,NORM,Specificity,0.6339285714285714
DNN,1,NORM,F1 score,0.7938053097345132
DNN,1,CD,Precision,0.6501079913606912
DNN,1,CD,Recall,0.8697788697788698
DNN,1,CD,Specificity,0.9051254089422028
DNN,1,CD,F1 score,0.757192174913694
DNN,1,HYP,Precision,0.4908424908424908
DNN,1,HYP,Recall,0.6448598130841121
DNN,1,HYP,Specificity,0.9265450861195542
DNN,1,HYP,F1 score,0.5763440860215053
DNN,1,MI,Precision,0.4528301886792453
DNN,1,MI,Recall,0.41203703703703703
DNN,1,MI,Specificity,0.937844611528822
DNN,1,MI,F1 score,0.4463276836158192
DNN,1,STTC,Precision,0.4657534246575342
DNN,1,STTC,Recall,0.3411764705882353
DNN,1,STTC,Specificity,0.9611166500498505
DNN,1,STTC,F1 score,0.41333333333333333
DNN,2,NORM,Precision,0.6654302670623146
DNN,2,NORM,Recall,0.9769633507853404
DNN,2,NORM,Specificity,0.6355661881977671
DNN,2,NORM,F1 score,0.7951373255290409
DNN,2,CD,Precision,0.6518218623481782
DNN,2,CD,Recall,0.8699186991869918
DNN,2,CD,Specificity,0.9056500274273176
DNN,2,CD,F1 score,0.7577639751552795
DNN,2,HYP,Precision,0.5076335877862596
DNN,2,HYP,Recall,0.6484018264840182
DNN,2,HYP,Specificity,0.9279187817258884
DNN,2,HYP,F1 score,0.5799086757990868
DNN,2,MI,Precision,0.4574468085106383
DNN,2,MI,Recall,0.4195121951219512
DNN,2,MI,Specificity,0.9396681749622926
DNN,2,MI,F1 score,0.4506329113924051
DNN,2,STTC,Precision,0.46853146853146854
DNN,2,STTC,Recall,0.3485714285714286
DNN,2,STTC,Specificity,0.9613670133729569
DNN,2,STTC,F1 score,0.4144144144144144
DNN,3,NORM,Precision,0.6669101533966398
DNN,3,NORM,Recall,0.9769633507853404
DNN,3,NORM,Specificity,0.6363636363636364
DNN,3,NORM,F1 score,0.7959363957597173
DNN,3,CD,Precision,0.6519823788546255
DNN,3,CD,Recall,0.8714285714285714
DNN,3,CD,Specificity,0.9056910569105691
DNN,3,CD,F1 score,0.7580025608194623
DNN,3,HYP,Precision,0.5093632958801498
DNN,3,HYP,Recall,0.6580310880829016
DNN,3,HYP,Specificity,0.9288256227758007
DNN,3,HYP,F1 score,0.5827814569536424
DNN,3,MI,Precision,0.4594594594594595
DNN,3,MI,Recall,0.42028985507246375
DNN,3,MI,Specificity,0.939918533604888
DNN,3,MI,F1 score,0.45161290322580644
DNN,3,STTC,Precision,0.46853146853146854
DNN,3,STTC,Recall,0.3522727272727273
DNN,3,STTC,Specificity,0.9617105917454003
DNN,3,STTC,F1 score,0.41638225255972694
DNN,4,NORM,Precision,0.6669184290030211
DNN,4,NORM,Recall,0.9772020725388602
DNN,4,NORM,Specificity,0.6365914786967418
DNN,4,NORM,F1 score,0.7977282656181739
DNN,4,CD,Precision,0.6524390243902439
DNN,4,CD,Recall,0.8732782369146006
DNN,4,CD,Specificity,0.906215921483097
DNN,4,CD,F1 score,0.7582292849035187
DNN,4,HYP,Precision,0.5183673469387755
DNN,4,HYP,Recall,0.6605504587155964
DNN,4,HYP,Specificity,0.9291813159216474
DNN,4,HYP,F1 score,0.5895196506550219
DNN,4,MI,Precision,0.4607329842931937
DNN,4,MI,Recall,0.4238095238095238
DNN,4,MI,Specificity,0.94
DNN,4,MI,F1 score,0.4517766497461929
DNN,4,STTC,Precision,0.4726027397260274
