predictor,n,diagnosis,score_fun,score
DNN,0,NORM,Precision,0.6817120622568094
DNN,0,NORM,Recall,0.9467336683417086
DNN,0,NORM,Specificity,0.6675041876046901
DNN,0,NORM,F1 score,0.7981818181818182
DNN,0,CD,Precision,0.6521739130434783
DNN,0,CD,Recall,0.8196286472148541
DNN,0,CD,Specificity,0.9126853377265239
DNN,0,CD,F1 score,0.737888198757764
DNN,0,HYP,Precision,0.5257731958762887
DNN,0,HYP,Recall,0.507177033492823
DNN,0,HYP,Specificity,0.9457559015570065
DNN,0,HYP,F1 score,0.5326633165829145
DNN,0,MI,Precision,0.46078431372549017
DNN,0,MI,Recall,0.24102564102564103
DNN,0,MI,Specificity,0.966798810703667
DNN,0,MI,F1 score,0.3164983164983165
DNN,0,STTC,Precision,0.452991452991453
DNN,0,STTC,Recall,0.2694610778443114
DNN,0,STTC,Specificity,0.9676938369781312
DNN,0,STTC,F1 score,0.3629032258064516
DNN,1,NORM,Precision,0.6832684824902724
DNN,1,NORM,Recall,0.9474237644584648
DNN,1,NORM,Specificity,0.6716791979949874
DNN,1,NORM,F1 score,0.7985414767547858
DNN,1,CD,Precision,0.6533957845433255
DNN,1,CD,Recall,0.825
DNN,1,CD,Specificity,0.9127589967284624
DNN,1,CD,F1 score,0.7388235294117647
DNN,1,HYP,Precision,0.5309278350515464
DNN,1,HYP,Recall,0.5192307692307693
DNN,1,HYP,Specificity,0.9479479479479479
DNN,1,HYP,F1 score,0.5406698564593302
DNN,1,MI,Precision,0.46956521739130436
DNN,1,MI,Recall,0.25120772946859904
DNN,1,MI,Specificity,0.9670719351570415
DNN,1,MI,F1 score,0.33548387096774196
DNN,1,STTC,Precision,0.4777777777777778
DNN,1,STTC,Recall,0.27647058823529413
DNN,1,STTC,Specificity,0.968011811023622
DNN,1,STTC,F1 score,0.3629032258064516
DNN,2,NORM,Precision,0.6850079744816587
DNN,2,NORM,Recall,0.9478623566214807
DNN,2,NORM,Specificity,0.6764705882352942
