predictor,n,diagnosis,score_fun,score
DNN,0,NORM,Precision,0.6813532651455547
DNN,0,NORM,Recall,0.9447983014861996
DNN,0,NORM,Specificity,0.6591289782244556
DNN,0,NORM,F1 score,0.7988929889298892
DNN,0,CD,Precision,0.5622710622710623
DNN,0,CD,Recall,0.8563829787234043
DNN,0,CD,Specificity,0.8707742639040349
DNN,0,CD,F1 score,0.6906636670416197
DNN,0,HYP,Precision,0.4329896907216495
DNN,0,HYP,Recall,0.6915887850467289
DNN,0,HYP,Specificity,0.8998474834773768
DNN,0,HYP,F1 score,0.5466377440347071
DNN,0,MI,Precision,0.4793814432989691
DNN,0,MI,Recall,0.38839285714285715
DNN,0,MI,Specificity,0.9494747373686844
DNN,0,MI,F1 score,0.4487534626038781
DNN,0,STTC,Precision,0.4307692307692308
DNN,0,STTC,Recall,0.31137724550898205
DNN,0,STTC,Specificity,0.9593253968253969
DNN,0,STTC,F1 score,0.3623693379790941
DNN,1,NORM,Precision,0.6823802163833076
DNN,1,NORM,Recall,0.9500542888165038
DNN,1,NORM,Specificity,0.671451355661882
DNN,1,NORM,F1 score,0.800543970988214
DNN,1,CD,Precision,0.5706521739130435
DNN,1,CD,Recall,0.8693333333333333
DNN,1,CD,Specificity,0.8711590296495957
DNN,1,CD,F1 score,0.695364238410596
DNN,1,HYP,Precision,0.4362017804154303
DNN,1,HYP,Recall,0.705607476635514
DNN,1,HYP,Specificity,0.9000502260170768
DNN,1,HYP,F1 score,0.5536723163841808
DNN,1,MI,Precision,0.48823529411764705
DNN,1,MI,Recall,0.391304347826087
DNN,1,MI,Specificity,0.9501510574018127
DNN,1,MI,F1 score,0.45077720207253885
DNN,1,STTC,Precision,0.432
DNN,1,STTC,Recall,0.31952662721893493
DNN,1,STTC,Specificity,0.9598039215686275
DNN,1,STTC,F1 score,0.3673469387755102
DNN,2,NORM,Precision,0.6840891621829363
DNN,2,NORM,Recall,0.9521331945889698
DNN,2,NORM,Specificity,0.6729048006509357
DNN,2,NORM,F1 score,0.8014407924358398
DNN,2,CD,Precision,0.5778985507246377
DNN,2,CD,Recall,0.8722222222222222
DNN,2,CD,Specificity,0.8714750542299349
DNN,2,CD,F1 score,0.6958473625140292
DNN,2,HYP,Precision,0.44694533762057875
DNN,2,HYP,Recall,0.719626168224299
DNN,2,HYP,Specificity,0.9021794221996959
DNN,2,HYP,F1 score,0.5573122529644269
DNN,2,MI,Precision,0.4972375690607735
DNN,2,MI,Recall,0.39655172413793105
DNN,2,MI,Specificity,0.9507290095525389
DNN,2,MI,F1 score,0.4566929133858268
DNN,2,STTC,Precision,0.43283582089552236
DNN,2,STTC,Recall,0.32954545454545453
DNN,2,STTC,Specificity,0.9602977667493796
DNN,2,STTC,F1 score,0.3972602739726027
DNN,3,NORM,Precision,0.6863354037267081
DNN,3,NORM,Recall,0.9523809523809523
DNN,3,NORM,Specificity,0.6731078904991948
DNN,3,NORM,F1 score,0.8014605203103605
DNN,3,CD,Precision,0.5783582089552238
DNN,3,CD,Recall,0.8732394366197183
DNN,3,CD,Specificity,0.8721886999451454
DNN,3,CD,F1 score,0.7071428571428572
DNN,3,HYP,Precision,0.4483870967741935
DNN,3,HYP,Recall,0.719626168224299
DNN,3,HYP,Specificity,0.9030484757621189
DNN,3,HYP,F1 score,0.5582329317269076
DNN,3,MI,Precision,0.5029940119760479
DNN,3,MI,Recall,0.4
DNN,3,MI,Specificity,0.951417004048583
DNN,3,MI,F1 score,0.4568245125348189
DNN,3,STTC,Precision,0.43333333333333335
DNN,3,STTC,Recall,0.3411764705882353
DNN,3,STTC,Specificity,0.960668633235005
DNN,3,STTC,F1 score,0.398576512455516
DNN,4,NORM,Precision,0.6880877742946708
DNN,4,NORM,Recall,0.9524793388429752
DNN,4,NORM,Specificity,0.6742424242424242
DNN,4,NORM,F1 score,0.8025535795713634
DNN,4,CD,Precision,0.5852713178294574
DNN,4,CD,Recall,0.8736559139784946
DNN,4,CD,Specificity,0.8739177489177489
DNN,4,CD,F1 score,0.7073170731707317
DNN,4,HYP,Precision,0.4487534626038781
DNN,4,HYP,Recall,0.7259615384615384
DNN,4,HYP,Specificity,0.9042067916877851
DNN,4,HYP,F1 score,0.5587044534412956
DNN,4,MI,Precision,0.5031055900621118
DNN,4,MI,Recall,0.4009216589861751
DNN,4,MI,Specificity,0.9518796992481203
DNN,4,MI,F1 score,0.4574468085106383
DNN,4,STTC,Precision,0.44166666666666665
DNN,4,STTC,Recall,0.3431952662721893
DNN,4,STTC,Specificity,0.9607745779543198
DNN,4,STTC,F1 score,0.39862542955326463
DNN,5,NORM,Precision,0.6883720930232559
DNN,5,NORM,Recall,0.9525316455696202
DNN,5,NORM,Specificity,0.6747181964573269
DNN,5,NORM,F1 score,0.8028738212842389
DNN,5,CD,Precision,0.5866388308977035
DNN,5,CD,Recall,0.8762886597938144
DNN,5,CD,Specificity,0.8745184369840396
DNN,5,CD,F1 score,0.7077625570776256
DNN,5,HYP,Precision,0.44886363636363635
DNN,5,HYP,Recall,0.7264150943396226
DNN,5,HYP,Specificity,0.9043565348022033
DNN,5,HYP,F1 score,0.5593561368209256
DNN,5,MI,Precision,0.5055555555555555
DNN,5,MI,Recall,0.40476190476190477
DNN,5,MI,Specificity,0.9518987341772152
DNN,5,MI,F1 score,0.46153846153846156
DNN,5,STTC,Precision,0.44274809160305345
DNN,5,STTC,Recall,0.3442622950819672
