predictor,n,diagnosis,score_fun,score
DNN,0,NORM,Precision,0.6609152288072018
DNN,0,NORM,Recall,0.9491701244813278
DNN,0,NORM,Specificity,0.635678391959799
DNN,0,NORM,F1 score,0.7848552338530067
DNN,0,CD,Precision,0.537864077669903
DNN,0,CD,Recall,0.8776595744680851
DNN,0,CD,Specificity,0.8516902944383861
DNN,0,CD,F1 score,0.6750861079219288
DNN,0,HYP,Precision,0.44964028776978415
DNN,0,HYP,Recall,0.6495327102803738
DNN,0,HYP,Specificity,0.9091370558375634
DNN,0,HYP,F1 score,0.5450643776824035
DNN,0,MI,Precision,0.4793814432989691
DNN,0,MI,Recall,0.38392857142857145
DNN,0,MI,Specificity,0.9474737368684342
DNN,0,MI,F1 score,0.45255474452554745
DNN,0,STTC,Precision,0.5128205128205128
DNN,0,STTC,Recall,0.32460732984293195
DNN,0,STTC,Specificity,0.9687344913151364
DNN,0,STTC,F1 score,0.40540540540540543
DNN,1,NORM,Precision,0.6636704119850187
DNN,1,NORM,Recall,0.9511677282377919
DNN,1,NORM,Specificity,0.6416184971098265
DNN,1,NORM,F1 score,0.7889667250437828
DNN,1,CD,Precision,0.5454545454545454
DNN,1,CD,Recall,0.8777777777777778
DNN,1,CD,Specificity,0.8568294020844761
DNN,1,CD,F1 score,0.6772616136919315
DNN,1,HYP,Precision,0.45182724252491696
DNN,1,HYP,Recall,0.6580310880829016
DNN,1,HYP,Specificity,0.9113025848960973
DNN,1,HYP,F1 score,0.5498981670061099
DNN,1,MI,Precision,0.48633879781420764
DNN,1,MI,Recall,0.39655172413793105
DNN,1,MI,Specificity,0.9480060575466935
DNN,1,MI,F1 score,0.45263157894736844
DNN,1,STTC,Precision,0.514018691588785
DNN,1,STTC,Recall,0.32620320855614976
DNN,1,STTC,Specificity,0.971272907379891
DNN,1,STTC,F1 score,0.4064516129032258
DNN,2,NORM,Precision,0.6649484536082474
DNN,2,NORM,Recall,0.9526315789473684
DNN,2,NORM,Specificity,0.6439749608763693
DNN,2,NORM,F1 score,0.7896174863387978
DNN,2,CD,Precision,0.5493716337522442
DNN,2,CD,Recall,0.8784810126582279
DNN,2,CD,Specificity,0.8580077050082554
DNN,2,CD,F1 score,0.683461117196057
