predictor,n,diagnosis,score_fun,score
DNN,0,NORM,Precision,0.6551724137931034
DNN,0,NORM,Recall,0.967741935483871
DNN,0,NORM,Specificity,0.6198830409356725
DNN,0,NORM,F1 score,0.7840210711150132
DNN,0,CD,Precision,0.5354477611940298
DNN,0,CD,Recall,0.8962765957446809
DNN,0,CD,Specificity,0.8540866703236424
DNN,0,CD,F1 score,0.6841477949940405
DNN,0,HYP,Precision,0.41194029850746267
DNN,0,HYP,Recall,0.7429906542056075
DNN,0,HYP,Specificity,0.8834756403817178
DNN,0,HYP,F1 score,0.5465346534653466
DNN,0,MI,Precision,0.4873096446700508
DNN,0,MI,Recall,0.41964285714285715
DNN,0,MI,Specificity,0.9440559440559441
DNN,0,MI,F1 score,0.4729064039408867
DNN,0,STTC,Precision,0.5
DNN,0,STTC,Recall,0.3764705882352941
DNN,0,STTC,Specificity,0.9646766169154228
DNN,0,STTC,F1 score,0.43986254295532645
DNN,1,NORM,Precision,0.6559060895084373
DNN,1,NORM,Recall,0.9690831556503199
DNN,1,NORM,Specificity,0.6222780569514238
DNN,1,NORM,F1 score,0.7859340659340659
DNN,1,CD,Precision,0.5467625899280576
DNN,1,CD,Recall,0.9012987012987013
DNN,1,CD,Specificity,0.85412147505423
DNN,1,CD,F1 score,0.687292817679558
DNN,1,HYP,Precision,0.4223433242506812
DNN,1,HYP,Recall,0.7429906542056075
DNN,1,HYP,Specificity,0.8881677483774338
DNN,1,HYP,F1 score,0.5485714285714286
DNN,1,MI,Precision,0.4897959183673469
DNN,1,MI,Recall,0.4224137931034483
DNN,1,MI,Specificity,0.9444444444444444
DNN,1,MI,F1 score,0.48081841432225064
DNN,1,STTC,Precision,0.5140845070422535
DNN,1,STTC,Recall,0.378698224852071
DNN,1,STTC,Specificity,0.9647642679900744
DNN,1,STTC,F1 score,0.4437299035369775
DNN,2,NORM,Precision,0.6559297218155198
DNN,2,NORM,Recall,0.9696312364425163
DNN,2,NORM,Specificity,0.6267942583732058
DNN,2,NORM,F1 score,0.7876923076923077
DNN,2,CD,Precision,0.5476190476190477
DNN,2,CD,Recall,0.9017341040462428
DNN,2,CD,Specificity,0.8544165757906216
DNN,2,CD,F1 score,0.6898002103049422
DNN,2,HYP,Precision,0.422680412371134
DNN,2,HYP,Recall,0.7477477477477478
DNN,2,HYP,Specificity,0.8882737795671867
DNN,2,HYP,F1 score,0.5525846702317291
DNN,2,MI,Precision,0.49074074074074076
DNN,2,MI,Recall,0.4525862068965517
DNN,2,MI,Specificity,0.9448621553884712
DNN,2,MI,F1 score,0.48292682926829267
DNN,2,STTC,Precision,0.5149253731343284
DNN,2,STTC,Recall,0.38190954773869346
DNN,2,STTC,Specificity,0.9655002464268112
DNN,2,STTC,F1 score,0.4505928853754941
DNN,3,NORM,Precision,0.6565437454808387
DNN,3,NORM,Recall,0.9703476482617587
DNN,3,NORM,Specificity,0.6283255086071987
DNN,3,NORM,F1 score,0.7885366912722536
DNN,3,CD,Precision,0.5483870967741935
DNN,3,CD,Recall,0.9028132992327366
DNN,3,CD,Specificity,0.8544548976203652
DNN,3,CD,F1 score,0.6917293233082706
DNN,3,HYP,Precision,0.42735042735042733
DNN,3,HYP,Recall,0.7513227513227513
DNN,3,HYP,Specificity,0.888663967611336
DNN,3,HYP,F1 score,0.5546875
DNN,3,MI,Precision,0.49246231155778897
DNN,3,MI,Recall,0.4528301886792453
DNN,3,MI,Specificity,0.945602440264362
DNN,3,MI,F1 score,0.48514851485148514
DNN,3,STTC,Precision,0.5181818181818182
DNN,3,STTC,Recall,0.3869047619047619
DNN,3,STTC,Specificity,0.96575682382134
DNN,3,STTC,F1 score,0.4520123839009288
DNN,4,NORM,Precision,0.6609281437125748
DNN,4,NORM,Recall,0.9704684317718941
DNN,4,NORM,Specificity,0.630308076602831
DNN,4,NORM,F1 score,0.7904139433551198
DNN,4,CD,Precision,0.5494137353433836
DNN,4,CD,Recall,0.9041450777202072
DNN,4,CD,Specificity,0.8547149122807017
DNN,4,CD,F1 score,0.6920565832426551
DNN,4,HYP,Precision,0.4281767955801105
DNN,4,HYP,Recall,0.7536945812807881
DNN,4,HYP,Specificity,0.8897876643073812
DNN,4,HYP,F1 score,0.5549132947976878
DNN,4,MI,Precision,0.4925373134328358
DNN,4,MI,Recall,0.4528301886792453
DNN,4,MI,Specificity,0.946
DNN,4,MI,F1 score,0.48514851485148514
