predictor,n,diagnosis,score_fun,score
DNN,0,NORM,Precision,0.6666666666666666
DNN,0,NORM,Recall,0.9424083769633508
DNN,0,NORM,Specificity,0.628140703517588
DNN,0,NORM,F1 score,0.7839422643211547
DNN,0,CD,Precision,0.5815450643776824
DNN,0,CD,Recall,0.8394366197183099
DNN,0,CD,Specificity,0.8767720828789531
DNN,0,CD,F1 score,0.698876404494382
DNN,0,HYP,Precision,0.46382978723404256
DNN,0,HYP,Recall,0.5700934579439252
DNN,0,HYP,Specificity,0.9331993972877951
DNN,0,HYP,F1 score,0.5382716049382716
DNN,0,MI,Precision,0.44493392070484583
DNN,0,MI,Recall,0.42105263157894735
DNN,0,MI,Specificity,0.9367787255393879
DNN,0,MI,F1 score,0.45758354755784064
DNN,0,STTC,Precision,0.45454545454545453
DNN,0,STTC,Recall,0.2485207100591716
DNN,0,STTC,Specificity,0.9681372549019608
DNN,0,STTC,F1 score,0.32432432432432434
DNN,1,NORM,Precision,0.6666666666666666
DNN,1,NORM,Recall,0.9436052366565961
DNN,1,NORM,Specificity,0.6363636363636364
DNN,1,NORM,F1 score,0.7862254025044723
DNN,1,CD,Precision,0.581573896353167
DNN,1,CD,Recall,0.8419540229885057
DNN,1,CD,Specificity,0.87915078933043
DNN,1,CD,F1 score,0.700352526439483
DNN,1,HYP,Precision,0.5062761506276151
DNN,1,HYP,Recall,0.5913461538461539
DNN,1,HYP,Specificity,0.9336016096579477
DNN,1,HYP,F1 score,0.5608695652173913
DNN,1,MI,Precision,0.4597156398104265
DNN,1,MI,Recall,0.4494949494949495
DNN,1,MI,Specificity,0.9376915219611849
DNN,1,MI,F1 score,0.46194225721784776
DNN,1,STTC,Precision,0.45614035087719296
DNN,1,STTC,Recall,0.2529411764705882
DNN,1,STTC,Specificity,0.9695181907571289
DNN,1,STTC,F1 score,0.33460076045627374
DNN,2,NORM,Precision,0.6669236700077101
DNN,2,NORM,Recall,0.9447983014861996
DNN,2,NORM,Specificity,0.6419853539462979
DNN,2,NORM,F1 score,0.7877972184836249
DNN,2,CD,Precision,0.582995951417004
DNN,2,CD,Recall,0.8428184281842819
DNN,2,CD,Specificity,0.8793859649122807
DNN,2,CD,F1 score,0.7013888888888888
DNN,2,HYP,Precision,0.5075187969924813
DNN,2,HYP,Recall,0.6132075471698113
DNN,2,HYP,Specificity,0.9348258706467661
DNN,2,HYP,F1 score,0.5622119815668203
DNN,2,MI,Precision,0.46543778801843316
DNN,2,MI,Recall,0.45495495495495497
DNN,2,MI,Specificity,0.9384149419485108
DNN,2,MI,F1 score,0.4675925925925926
DNN,2,STTC,Precision,0.4583333333333333
DNN,2,STTC,Recall,0.25874125874125875
