predictor,n,diagnosis,score_fun,score
DNN,0,NORM,Precision,0.6730621642363775
DNN,0,NORM,Recall,0.946058091286307
DNN,0,NORM,Specificity,0.6507537688442211
DNN,0,NORM,F1 score,0.7918735891647856
DNN,0,CD,Precision,0.5894308943089431
DNN,0,CD,Recall,0.8556430446194225
DNN,0,CD,Specificity,0.8833241607044579
DNN,0,CD,F1 score,0.7099143206854345
DNN,0,HYP,Precision,0.44
DNN,0,HYP,Recall,0.6355140186915887
DNN,0,HYP,Specificity,0.9145601617795753
DNN,0,HYP,F1 score,0.5426695842450766
DNN,0,MI,Precision,0.4473684210526316
DNN,0,MI,Recall,0.3875598086124402
DNN,0,MI,Specificity,0.9458502024291497
DNN,0,MI,F1 score,0.4207920792079208
DNN,0,STTC,Precision,0.46511627906976744
DNN,0,STTC,Recall,0.32460732984293195
DNN,0,STTC,Specificity,0.963554667998003
DNN,0,STTC,F1 score,0.41379310344827586
DNN,1,NORM,Precision,0.6790409899458624
DNN,1,NORM,Recall,0.9469214437367304
DNN,1,NORM,Specificity,0.6578947368421053
DNN,1,NORM,F1 score,0.7966573816155988
DNN,1,CD,Precision,0.591792656587473
DNN,1,CD,Recall,0.8563829787234043
DNN,1,CD,Specificity,0.8838745184369841
DNN,1,CD,F1 score,0.713463751438435
DNN,1,HYP,Precision,0.4527027027027027
DNN,1,HYP,Recall,0.6448598130841121
DNN,1,HYP,Specificity,0.9149471565173629
DNN,1,HYP,F1 score,0.5438202247191011
DNN,1,MI,Precision,0.45263157894736844
DNN,1,MI,Recall,0.39655172413793105
DNN,1,MI,Specificity,0.9470766129032258
DNN,1,MI,F1 score,0.4370179948586118
DNN,1,STTC,Precision,0.4954128440366973
DNN,1,STTC,Recall,0.32786885245901637
DNN,1,STTC,Specificity,0.9653465346534653
DNN,1,STTC,F1 score,0.4142857142857143
DNN,2,NORM,Precision,0.6817507418397626
DNN,2,NORM,Recall,0.9482233502538071
DNN,2,NORM,Specificity,0.6680227827502034
DNN,2,NORM,F1 score,0.7974568574023615
DNN,2,CD,Precision,0.5961904761904762
DNN,2,CD,Recall,0.8567639257294429
DNN,2,CD,Specificity,0.8849509269356598
DNN,2,CD,F1 score,0.7137891077636153
DNN,2,HYP,Precision,0.46075085324232085
DNN,2,HYP,Recall,0.6462264150943396
DNN,2,HYP,Specificity,0.916919959473151
DNN,2,HYP,F1 score,0.5510204081632653
DNN,2,MI,Precision,0.4594594594594595
DNN,2,MI,Recall,0.397196261682243
DNN,2,MI,Specificity,0.948
DNN,2,MI,F1 score,0.44329896907216493
DNN,2,STTC,Precision,0.5
DNN,2,STTC,Recall,0.3352941176470588
DNN,2,STTC,Specificity,0.9654308617234469
DNN,2,STTC,F1 score,0.4153846153846154
DNN,3,NORM,Precision,0.6825775656324582
DNN,3,NORM,Recall,0.9494163424124513
DNN,3,NORM,Specificity,0.6685529506871464
DNN,3,NORM,F1 score,0.7996348699224098
DNN,3,CD,Precision,0.5984703632887189
DNN,3,CD,Recall,0.8574938574938575
DNN,3,CD,Specificity,0.8853362734288864
DNN,3,CD,F1 score,0.7154046997389034
DNN,3,HYP,Precision,0.46075085324232085
DNN,3,HYP,Recall,0.656084656084656
DNN,3,HYP,Specificity,0.9175465057817999
DNN,3,HYP,F1 score,0.5537190082644629
DNN,3,MI,Precision,0.4708994708994709
DNN,3,MI,Recall,0.3991228070175439
DNN,3,MI,Specificity,0.9488721804511279
DNN,3,MI,F1 score,0.44389027431421446
DNN,3,STTC,Precision,0.5
DNN,3,STTC,Recall,0.3409090909090909
DNN,3,STTC,Specificity,0.9654654654654654
DNN,3,STTC,F1 score,0.4166666666666667
DNN,4,NORM,Precision,0.6844512195121951
DNN,4,NORM,Recall,0.949738219895288
DNN,4,NORM,Specificity,0.6687402799377916
DNN,4,NORM,F1 score,0.8
DNN,4,CD,Precision,0.5992141453831041
DNN,4,CD,Recall,0.8608247422680413
DNN,4,CD,Specificity,0.8855291576673866
DNN,4,CD,F1 score,0.715962441314554
DNN,4,HYP,Precision,0.4626865671641791
DNN,4,HYP,Recall,0.6565656565656566
DNN,4,HYP,Specificity,0.9175935288169869
DNN,4,HYP,F1 score,0.5541125541125541
DNN,4,MI,Precision,0.4722222222222222
DNN,4,MI,Recall,0.4017467248908297
DNN,4,MI,Specificity,0.9488721804511279
DNN,4,MI,F1 score,0.44751381215469616
DNN,4,STTC,Precision,0.5039370078740157
