predictor,n,diagnosis,score_fun,score
DNN,0,NORM,Precision,0.6266481609993061
DNN,0,NORM,Recall,0.9792315680166147
DNN,0,NORM,Specificity,0.5770519262981575
DNN,0,NORM,F1 score,0.766553480475382
DNN,0,CD,Precision,0.5223613595706619
DNN,0,CD,Recall,0.922077922077922
DNN,0,CD,Specificity,0.8354430379746836
DNN,0,CD,F1 score,0.6769865841073271
DNN,0,HYP,Precision,0.35476718403547675
DNN,0,HYP,Recall,0.8037383177570093
DNN,0,HYP,Specificity,0.8427925665494727
DNN,0,HYP,F1 score,0.49270664505672607
DNN,0,MI,Precision,0.4489795918367347
DNN,0,MI,Recall,0.47413793103448276
DNN,0,MI,Specificity,0.930115635997989
DNN,0,MI,F1 score,0.4732142857142857
DNN,0,STTC,Precision,0.49612403100775193
DNN,0,STTC,Recall,0.3668639053254438
DNN,0,STTC,Specificity,0.9666666666666667
DNN,0,STTC,F1 score,0.4492753623188406
DNN,1,NORM,Precision,0.6296556570625439
DNN,1,NORM,Recall,0.9807692307692307
DNN,1,NORM,Specificity,0.5779014308426074
DNN,1,NORM,F1 score,0.7684391080617495
DNN,1,CD,Precision,0.5239616613418531
DNN,1,CD,Recall,0.924119241192412
DNN,1,CD,Specificity,0.8367567567567568
DNN,1,CD,F1 score,0.6774941995359629
DNN,1,HYP,Precision,0.354916067146283
DNN,1,HYP,Recall,0.8042328042328042
DNN,1,HYP,Specificity,0.848424212106053
DNN,1,HYP,F1 score,0.5007824726134585
DNN,1,MI,Precision,0.4491525423728814
DNN,1,MI,Recall,0.47844827586206895
DNN,1,MI,Specificity,0.9318181818181818
DNN,1,MI,F1 score,0.47516198704103674
DNN,1,STTC,Precision,0.5373134328358209
DNN,1,STTC,Recall,0.37058823529411766
DNN,1,STTC,Specificity,0.9677259185700099
DNN,1,STTC,F1 score,0.45714285714285713
DNN,2,NORM,Precision,0.6308771929824561
DNN,2,NORM,Recall,0.9812695109261186
DNN,2,NORM,Specificity,0.5798387096774194
DNN,2,NORM,F1 score,0.76936243046641
DNN,2,CD,Precision,0.5281090289608177
DNN,2,CD,Recall,0.9248704663212435
DNN,2,CD,Specificity,0.8376302797586396
DNN,2,CD,F1 score,0.6781029263370333
DNN,2,HYP,Precision,0.35514018691588783
DNN,2,HYP,Recall,0.8044444444444444
DNN,2,HYP,Specificity,0.8497254118821768
DNN,2,HYP,F1 score,0.5031847133757962
DNN,2,MI,Precision,0.45495495495495497
DNN,2,MI,Recall,0.4855769230769231
DNN,2,MI,Specificity,0.9330312185297079
DNN,2,MI,F1 score,0.48366013071895425
DNN,2,STTC,Precision,0.5390625
DNN,2,STTC,Recall,0.3768844221105528
DNN,2,STTC,Specificity,0.9677579365079365
DNN,2,STTC,F1 score,0.4585987261146497
DNN,3,NORM,Precision,0.6356050069541029
DNN,3,NORM,Recall,0.9813278008298755
DNN,3,NORM,Specificity,0.5806703039750585
DNN,3,NORM,F1 score,0.7741666666666667
DNN,3,CD,Precision,0.528125
DNN,3,CD,Recall,0.927027027027027
DNN,3,CD,Specificity,0.8385869565217391
DNN,3,CD,F1 score,0.6783369803063457
DNN,3,HYP,Precision,0.35860655737704916
DNN,3,HYP,Recall,0.8080808080808081
DNN,3,HYP,Specificity,0.8503503503503503
DNN,3,HYP,F1 score,0.5035971223021583
