predictor,n,diagnosis,score_fun,score
DNN,0,NORM,Precision,0.701195219123506
DNN,0,NORM,Recall,0.9544534412955465
DNN,0,NORM,Specificity,0.6968174204355109
DNN,0,NORM,F1 score,0.8121827411167513
DNN,0,CD,Precision,0.596116504854369
DNN,0,CD,Recall,0.851063829787234
DNN,0,CD,Specificity,0.886041439476554
DNN,0,CD,F1 score,0.7156177156177156
DNN,0,HYP,Precision,0.5945945945945946
DNN,0,HYP,Recall,0.494949494949495
DNN,0,HYP,Specificity,0.959758551307847
DNN,0,HYP,F1 score,0.5645161290322581
DNN,0,MI,Precision,0.4187725631768953
DNN,0,MI,Recall,0.4975609756097561
DNN,0,MI,Specificity,0.9113796576032226
DNN,0,MI,F1 score,0.4743276283618582
DNN,0,STTC,Precision,0.5064935064935064
DNN,0,STTC,Recall,0.20105820105820105
DNN,0,STTC,Specificity,0.979571499750872
DNN,0,STTC,F1 score,0.29545454545454547
DNN,1,NORM,Precision,0.7056
DNN,1,NORM,Recall,0.9550209205020921
DNN,1,NORM,Specificity,0.6995073891625616
DNN,1,NORM,F1 score,0.8147806004618937
DNN,1,CD,Precision,0.6109979633401222
DNN,1,CD,Recall,0.8542857142857143
DNN,1,CD,Specificity,0.8878706199460916
DNN,1,CD,F1 score,0.725
DNN,1,HYP,Precision,0.5965909090909091
DNN,1,HYP,Recall,0.5093457943925234
DNN,1,HYP,Specificity,0.9608237066800602
DNN,1,HYP,F1 score,0.5681159420289855
DNN,1,MI,Precision,0.4199134199134199
DNN,1,MI,Recall,0.5
DNN,1,MI,Specificity,0.9153573238722758
DNN,1,MI,F1 score,0.48
DNN,1,STTC,Precision,0.5185185185185185
DNN,1,STTC,Recall,0.20588235294117646
DNN,1,STTC,Specificity,0.9800498753117207
DNN,1,STTC,F1 score,0.29571984435797666
DNN,2,NORM,Precision,0.7058823529411765
DNN,2,NORM,Recall,0.9554404145077721
DNN,2,NORM,Specificity,0.7031630170316302
DNN,2,NORM,F1 score,0.8165959453088166
DNN,2,CD,Precision,0.6129753914988815
DNN,2,CD,Recall,0.86
DNN,2,CD,Specificity,0.8910614525139665
DNN,2,CD,F1 score,0.7302325581395349
DNN,2,HYP,Precision,0.6022727272727273
DNN,2,HYP,Recall,0.5104166666666666
DNN,2,HYP,Specificity,0.9614799797263052
DNN,2,HYP,F1 score,0.5706806282722513
DNN,2,MI,Precision,0.42105263157894735
DNN,2,MI,Recall,0.5133928571428571
DNN,2,MI,Specificity,0.9156075241484494
DNN,2,MI,F1 score,0.4811715481171548
DNN,2,STTC,Precision,0.5263157894736842
DNN,2,STTC,Recall,0.20855614973262032
DNN,2,STTC,Specificity,0.9805776892430279
DNN,2,STTC,F1 score,0.3
DNN,3,NORM,Precision,0.7075163398692811
DNN,3,NORM,Recall,0.9561965811965812
DNN,3,NORM,Specificity,0.7037337662337663
DNN,3,NORM,F1 score,0.8192014356213548
DNN,3,CD,Precision,0.6131078224101479
DNN,3,CD,Recall,0.8666666666666667
DNN,3,CD,Specificity,0.8926802421574023
DNN,3,CD,F1 score,0.7306666666666667
DNN,3,HYP,Precision,0.6104651162790697
DNN,3,HYP,Recall,0.5144230769230769
DNN,3,HYP,Specificity,0.9618126272912424
DNN,3,HYP,F1 score,0.5729166666666666
DNN,3,MI,Precision,0.42578125
DNN,3,MI,Recall,0.5172413793103449
DNN,3,MI,Specificity,0.9195
DNN,3,MI,F1 score,0.4814004376367615
DNN,3,STTC,Precision,0.5333333333333333
DNN,3,STTC,Recall,0.2097902097902098
DNN,3,STTC,Specificity,0.9811039283938339
DNN,3,STTC,F1 score,0.30434782608695654
DNN,4,NORM,Precision,0.7105678233438486
DNN,4,NORM,Recall,0.9562256809338522
DNN,4,NORM,Specificity,0.7049441786283892
