predictor,n,diagnosis,score_fun,score
DNN,0,NORM,Precision,0.674225245653817
DNN,0,NORM,Recall,0.9628450106157113
DNN,0,NORM,Specificity,0.6598860862489829
DNN,0,NORM,F1 score,0.7971403038427167
DNN,0,CD,Precision,0.5167224080267558
DNN,0,CD,Recall,0.8826666666666667
DNN,0,CD,Specificity,0.8380588876772083
DNN,0,CD,F1 score,0.665871121718377
DNN,0,HYP,Precision,0.46440677966101696
DNN,0,HYP,Recall,0.6794258373205742
DNN,0,HYP,Specificity,0.9049313675648195
DNN,0,HYP,F1 score,0.5690376569037657
DNN,0,MI,Precision,0.41037735849056606
DNN,0,MI,Recall,0.38392857142857145
DNN,0,MI,Specificity,0.9295065458207452
DNN,0,MI,F1 score,0.4066193853427896
DNN,0,STTC,Precision,0.46153846153846156
DNN,0,STTC,Recall,0.30939226519337015
DNN,0,STTC,Specificity,0.9652605459057072
DNN,0,STTC,F1 score,0.3783783783783784
DNN,1,NORM,Precision,0.6779279279279279
DNN,1,NORM,Recall,0.9632034632034632
DNN,1,NORM,Specificity,0.6599664991624791
DNN,1,NORM,F1 score,0.8018058690744921
DNN,1,CD,Precision,0.5186385737439222
DNN,1,CD,Recall,0.8867924528301887
DNN,1,CD,Specificity,0.8398921832884098
DNN,1,CD,F1 score,0.6666666666666666
DNN,1,HYP,Precision,0.46794871794871795
DNN,1,HYP,Recall,0.7009345794392523
DNN,1,HYP,Specificity,0.9094111726220433
DNN,1,HYP,F1 score,0.5755693581780539
DNN,1,MI,Precision,0.41232227488151657
DNN,1,MI,Recall,0.4056603773584906
DNN,1,MI,Specificity,0.9306532663316583
DNN,1,MI,F1 score,0.41134751773049644
DNN,1,STTC,Precision,0.48623853211009177
DNN,1,STTC,Recall,0.31176470588235294
DNN,1,STTC,Specificity,0.9658077304261645
DNN,1,STTC,F1 score,0.37992831541218636
DNN,2,NORM,Precision,0.681504221028396
DNN,2,NORM,Recall,0.9634517766497462
DNN,2,NORM,Specificity,0.6616541353383458
DNN,2,NORM,F1 score,0.8019538188277087
DNN,2,CD,Precision,0.5214953271028038
DNN,2,CD,Recall,0.8923076923076924
DNN,2,CD,Specificity,0.8400441257584115
DNN,2,CD,F1 score,0.6688888888888889
DNN,2,HYP,Precision,0.47278911564625853
DNN,2,HYP,Recall,0.7009345794392523
DNN,2,HYP,Specificity,0.9110999497739829
DNN,2,HYP,F1 score,0.5760649087221096
DNN,2,MI,Precision,0.4177777777777778
DNN,2,MI,Recall,0.40948275862068967
DNN,2,MI,Specificity,0.9321357285429142
DNN,2,MI,F1 score,0.4174757281553398
DNN,2,STTC,Precision,0.48695652173913045
DNN,2,STTC,Recall,0.3136094674556213
DNN,2,STTC,Specificity,0.9662027833001988
