predictor,n,diagnosis,score_fun,score
DNN,0,NORM,Precision,0.6160653505786249
DNN,0,NORM,Recall,0.9783080260303688
DNN,0,NORM,Specificity,0.550251256281407
DNN,0,NORM,F1 score,0.7592281879194631
DNN,0,CD,Precision,0.46688741721854304
DNN,0,CD,Recall,0.8888888888888888
DNN,0,CD,Specificity,0.7921009325287987
DNN,0,CD,F1 score,0.6218302094818081
DNN,0,HYP,Precision,0.3988439306358382
DNN,0,HYP,Recall,0.702020202020202
DNN,0,HYP,Specificity,0.8849824208940231
DNN,0,HYP,F1 score,0.5178236397748592
DNN,0,MI,Precision,0.35294117647058826
DNN,0,MI,Recall,0.32142857142857145
DNN,0,MI,Specificity,0.9281376518218624
DNN,0,MI,F1 score,0.3448275862068966
DNN,0,STTC,Precision,0.5045045045045045
DNN,0,STTC,Recall,0.3105263157894737
DNN,0,STTC,Specificity,0.9697870232788509
DNN,0,STTC,F1 score,0.4083044982698962
DNN,1,NORM,Precision,0.6188153310104529
DNN,1,NORM,Recall,0.9790356394129979
DNN,1,NORM,Specificity,0.5527597402597403
DNN,1,NORM,F1 score,0.761339550657058
DNN,1,CD,Precision,0.46906474820143884
DNN,1,CD,Recall,0.8906666666666667
DNN,1,CD,Specificity,0.7998909487459106
DNN,1,CD,F1 score,0.6261859582542695
DNN,1,HYP,Precision,0.40668523676880225
DNN,1,HYP,Recall,0.70995670995671
DNN,1,HYP,Specificity,0.8851214574898786
DNN,1,HYP,F1 score,0.531986531986532
DNN,1,MI,Precision,0.35467980295566504
DNN,1,MI,Recall,0.32524271844660196
DNN,1,MI,Specificity,0.9293286219081273
DNN,1,MI,F1 score,0.3485714285714286
DNN,1,STTC,Precision,0.5327102803738317
DNN,1,STTC,Recall,0.32124352331606215
DNN,1,STTC,Specificity,0.9703815261044176
DNN,1,STTC,F1 score,0.4153846153846154
DNN,2,NORM,Precision,0.6205943331029716
DNN,2,NORM,Recall,0.9798941798941799
DNN,2,NORM,Specificity,0.5542264752791068
DNN,2,NORM,F1 score,0.7615780445969125
DNN,2,CD,Precision,0.4725274725274725
DNN,2,CD,Recall,0.9
DNN,2,CD,Specificity,0.801078167115903
DNN,2,CD,F1 score,0.6270833333333333
DNN,2,HYP,Precision,0.4082687338501292
DNN,2,HYP,Recall,0.7177033492822966
DNN,2,HYP,Specificity,0.887646161667514
DNN,2,HYP,F1 score,0.5327868852459017
DNN,2,MI,Precision,0.35714285714285715
DNN,2,MI,Recall,0.32894736842105265
DNN,2,MI,Specificity,0.9303507880020335
DNN,2,MI,F1 score,0.35170603674540685
DNN,2,STTC,Precision,0.5462184873949579
DNN,2,STTC,Recall,0.3246753246753247
DNN,2,STTC,Specificity,0.9728930507639231
DNN,2,STTC,F1 score,0.4161073825503356
DNN,3,NORM,Precision,0.6209286209286209
DNN,3,NORM,Recall,0.9799196787148594
DNN,3,NORM,Specificity,0.555739058629232
DNN,3,NORM,F1 score,0.7628778203490847
DNN,3,CD,Precision,0.47385103011093505
DNN,3,CD,Recall,0.9008264462809917
DNN,3,CD,Specificity,0.8019586507072906
DNN,3,CD,F1 score,0.628131021194605
DNN,3,HYP,Precision,0.4088050314465409
DNN,3,HYP,Recall,0.7191489361702128
DNN,3,HYP,Specificity,0.8888329979879276
DNN,3,HYP,F1 score,0.5338208409506399
DNN,3,MI,Precision,0.3626943005181347
DNN,3,MI,Recall,0.32972972972972975
DNN,3,MI,Specificity,0.9307381193124368
DNN,3,MI,F1 score,0.352112676056338
DNN,3,STTC,Precision,0.5462184873949579
DNN,3,STTC,Recall,0.3312883435582822
DNN,3,STTC,Specificity,0.9731314118221788
DNN,3,STTC,F1 score,0.4175084175084175
DNN,4,NORM,Precision,0.6216402481047554
DNN,4,NORM,Recall,0.9800995024875622
DNN,4,NORM,Specificity,0.557258064516129
DNN,4,NORM,F1 score,0.7640830156713257
DNN,4,CD,Precision,0.4755043227665706
DNN,4,CD,Recall,0.9011299435028248
DNN,4,CD,Specificity,0.8038781163434903
DNN,4,CD,F1 score,0.6287487073422957
DNN,4,HYP,Precision,0.4112676056338028
DNN,4,HYP,Recall,0.7202072538860104
DNN,4,HYP,Specificity,0.889564336372847
DNN,4,HYP,F1 score,0.5346153846153846
DNN,4,MI,Precision,0.36363636363636365
DNN,4,MI,Recall,0.33170731707317075
DNN,4,MI,Specificity,0.9312627291242362
DNN,4,MI,F1 score,0.35353535353535354
DNN,4,STTC,Precision,0.5481481481481482
DNN,4,STTC,Recall,0.3314285714285714
DNN,4,STTC,Specificity,0.9731343283582089
DNN,4,STTC,F1 score,0.41841004184100417
DNN,5,NORM,Precision,0.6224489795918368
DNN,5,NORM,Recall,0.9804727646454265
DNN,5,NORM,Specificity,0.5588235294117647
DNN,5,NORM,F1 score,0.7643892339544514
DNN,5,CD,Precision,0.47703703703703704
DNN,5,CD,Recall,0.9012987012987013
DNN,5,CD,Specificity,0.8060200668896321
DNN,5,CD,F1 score,0.6288117770767613
DNN,5,HYP,Precision,0.4124293785310734
DNN,5,HYP,Recall,0.7242990654205608
DNN,5,HYP,Specificity,0.8900152052711606
DNN,5,HYP,F1 score,0.5355805243445693
DNN,5,MI,Precision,0.3696682464454976
DNN,5,MI,Recall,0.33183856502242154
DNN,5,MI,Specificity,0.9317837291561395
DNN,5,MI,F1 score,0.35910224438902744
DNN,5,STTC,Precision,0.5495495495495496
DNN,5,STTC,Recall,0.3314917127071823
DNN,5,STTC,Specificity,0.9732540861812778
DNN,5,STTC,F1 score,0.42748091603053434
DNN,6,NORM,Precision,0.6231681786461968
DNN,6,NORM,Recall,0.9805527123848515
DNN,6,NORM,Specificity,0.5589865399841647
DNN,6,NORM,F1 score,0.764406779661017
DNN,6,CD,Precision,0.4786053882725832
DNN,6,CD,Recall,0.9019607843137255
DNN,6,CD,Specificity,0.8064692982456141
DNN,6,CD,F1 score,0.6295585412667947
DNN,6,HYP,Precision,0.4136986301369863
DNN,6,HYP,Recall,0.7247706422018348
DNN,6,HYP,Specificity,0.8904040404040404
DNN,6,HYP,F1 score,0.5357798165137615
DNN,6,MI,Precision,0.3696969696969697
DNN,6,MI,Recall,0.33189655172413796
DNN,6,MI,Specificity,0.9318869828456104
DNN,6,MI,F1 score,0.3613861386138614
DNN,6,STTC,Precision,0.5535714285714286
DNN,6,STTC,Recall,0.3333333333333333
DNN,6,STTC,Specificity,0.973293768545994
DNN,6,STTC,F1 score,0.42857142857142855
DNN,7,NORM,Precision,0.6236486486486487
DNN,7,NORM,Recall,0.9810526315789474
DNN,7,NORM,Specificity,0.5593495934959349
DNN,7,NORM,F1 score,0.7655379339905701
DNN,7,CD,Precision,0.47874015748031495
DNN,7,CD,Recall,0.9037433155080213
DNN,7,CD,Specificity,0.8065217391304348
DNN,7,CD,F1 score,0.6323092170465807
DNN,7,HYP,Precision,0.4144927536231884
DNN,7,HYP,Recall,0.7256637168141593
DNN,7,HYP,Specificity,0.8910642570281124
DNN,7,HYP,F1 score,0.5378787878787878
DNN,7,MI,Precision,0.37073170731707317
DNN,7,MI,Recall,0.3349282296650718
DNN,7,MI,Specificity,0.9323770491803278
DNN,7,MI,F1 score,0.3640776699029126
DNN,7,STTC,Precision,0.5555555555555556
DNN,7,STTC,Recall,0.3352941176470588
DNN,7,STTC,Specificity,0.9734513274336283
DNN,7,STTC,F1 score,0.43010752688172044
DNN,8,NORM,Precision,0.6243969676085458
DNN,8,NORM,Recall,0.981151832460733
DNN,8,NORM,Specificity,0.5602553870710295
DNN,8,NORM,F1 score,0.7656765676567657
DNN,8,CD,Precision,0.478806907378336
DNN,8,CD,Recall,0.9083557951482479
DNN,8,CD,Specificity,0.8065395095367848
DNN,8,CD,F1 score,0.6329113924050633
DNN,8,HYP,Precision,0.4146341463414634
DNN,8,HYP,Recall,0.726027397260274
DNN,8,HYP,Specificity,0.8910741301059002
DNN,8,HYP,F1 score,0.5387453874538746
DNN,8,MI,Precision,0.37433155080213903
DNN,8,MI,Recall,0.33707865168539325
DNN,8,MI,Specificity,0.9330985915492958
DNN,8,MI,F1 score,0.36464088397790057
DNN,8,STTC,Precision,0.5567010309278351
DNN,8,STTC,Recall,0.3352941176470588
DNN,8,STTC,Specificity,0.9735396904643036
DNN,8,STTC,F1 score,0.4305555555555556
DNN,9,NORM,Precision,0.6258549931600548
DNN,9,NORM,Recall,0.9811912225705329
DNN,9,NORM,Specificity,0.5604053000779423
DNN,9,NORM,F1 score,0.7656903765690377
DNN,9,CD,Precision,0.47919876733436056
DNN,9,CD,Recall,0.9088471849865952
DNN,9,CD,Specificity,0.806949806949807
DNN,9,CD,F1 score,0.6334012219959266
DNN,9,HYP,Precision,0.4152542372881356
DNN,9,HYP,Recall,0.7289719626168224
DNN,9,HYP,Specificity,0.8916206723532363
DNN,9,HYP,F1 score,0.5392857142857143
DNN,9,MI,Precision,0.37435897435897436
DNN,9,MI,Recall,0.3411214953271028
DNN,9,MI,Specificity,0.9336372847011145
DNN,9,MI,F1 score,0.36553524804177545
DNN,9,STTC,Precision,0.5625
DNN,9,STTC,Recall,0.3370165745856354
DNN,9,STTC,Specificity,0.9736187157789945
DNN,9,STTC,F1 score,0.4312267657992565
DNN,10,NORM,Precision,0.6259649122807017
DNN,10,NORM,Recall,0.9813471502590674
DNN,10,NORM,Specificity,0.5606183889340928
DNN,10,NORM,F1 score,0.7658495350803043
DNN,10,CD,Precision,0.47953216374269003
DNN,10,CD,Recall,0.9093264248704663
DNN,10,CD,Specificity,0.8074602303894679
DNN,10,CD,F1 score,0.6334012219959266
DNN,10,HYP,Precision,0.4169184290030212
DNN,10,HYP,Recall,0.729064039408867
DNN,10,HYP,Specificity,0.8918232605383444
DNN,10,HYP,F1 score,0.5401459854014599
DNN,10,MI,Precision,0.375
DNN,10,MI,Recall,0.3417085427135678
DNN,10,MI,Specificity,0.9336683417085427
DNN,10,MI,F1 score,0.36674816625916873
DNN,10,STTC,Precision,0.5636363636363636
DNN,10,STTC,Recall,0.3386243386243386
DNN,10,STTC,Specificity,0.9737233515121467
DNN,10,STTC,F1 score,0.4358974358974359
DNN,11,NORM,Precision,0.626010781671159
DNN,11,NORM,Recall,0.9815175097276264
DNN,11,NORM,Specificity,0.5607321131447587
DNN,11,NORM,F1 score,0.7660108832147342
DNN,11,CD,Precision,0.47969924812030074
DNN,11,CD,Recall,0.9098143236074271
DNN,11,CD,Specificity,0.8075013789299503
DNN,11,CD,F1 score,0.6336822074215034
DNN,11,HYP,Precision,0.4174174174174174
DNN,11,HYP,Recall,0.7302325581395349
DNN,11,HYP,Specificity,0.8918918918918919
DNN,11,HYP,F1 score,0.5406360424028268
DNN,11,MI,Precision,0.3787878787878788
DNN,11,MI,Recall,0.34210526315789475
DNN,11,MI,Specificity,0.9338383838383838
DNN,11,MI,F1 score,0.3673469387755102
DNN,11,STTC,Precision,0.5641025641025641
DNN,11,STTC,Recall,0.33879781420765026
DNN,11,STTC,Specificity,0.9738658777120316
DNN,11,STTC,F1 score,0.43613707165109034
DNN,12,NORM,Precision,0.6262341325811002
DNN,12,NORM,Recall,0.9818569903948773
DNN,12,NORM,Specificity,0.5611990008326395
DNN,12,NORM,F1 score,0.7665016501650165
DNN,12,CD,Precision,0.4797507788161994
DNN,12,CD,Recall,0.91005291005291
DNN,12,CD,Specificity,0.8075639599555061
DNN,12,CD,F1 score,0.6340956340956341
DNN,12,HYP,Precision,0.4176470588235294
DNN,12,HYP,Recall,0.7307692307692307
DNN,12,HYP,Specificity,0.8920539730134932
DNN,12,HYP,F1 score,0.5411764705882353
DNN,12,MI,Precision,0.37894736842105264
DNN,12,MI,Recall,0.3425925925925926
DNN,12,MI,Specificity,0.9338383838383838
DNN,12,MI,F1 score,0.3690773067331671
DNN,12,STTC,Precision,0.5648148148148148
DNN,12,STTC,Recall,0.34
DNN,12,STTC,Specificity,0.9738955823293173
DNN,12,STTC,F1 score,0.436241610738255
DNN,13,NORM,Precision,0.6268241834607367
DNN,13,NORM,Recall,0.9819532908704883
DNN,13,NORM,Specificity,0.5619285120532004
DNN,13,NORM,F1 score,0.7673060884070059
DNN,13,CD,Precision,0.48148148148148145
DNN,13,CD,Recall,0.9102564102564102
DNN,13,CD,Specificity,0.8075865860362836
DNN,13,CD,F1 score,0.6342412451361867
DNN,13,HYP,Precision,0.4192634560906516
DNN,13,HYP,Recall,0.7309417040358744
DNN,13,HYP,Specificity,0.8921370967741935
DNN,13,HYP,F1 score,0.5418894830659536
DNN,13,MI,Precision,0.3815028901734104
DNN,13,MI,Recall,0.34299516908212563
DNN,13,MI,Specificity,0.9339095068632435
DNN,13,MI,F1 score,0.3690773067331671
DNN,13,STTC,Precision,0.5652173913043478
DNN,13,STTC,Recall,0.34065934065934067
DNN,13,STTC,Specificity,0.9739478957915831
DNN,13,STTC,F1 score,0.43636363636363634
DNN,14,NORM,Precision,0.6270847231487658
DNN,14,NORM,Recall,0.982010582010582
DNN,14,NORM,Specificity,0.5639097744360902
DNN,14,NORM,F1 score,0.7676419965576592
DNN,14,CD,Precision,0.4815361890694239
DNN,14,CD,Recall,0.9108108108108108
DNN,14,CD,Specificity,0.8077765607886089
DNN,14,CD,F1 score,0.634453781512605
DNN,14,HYP,Precision,0.42005420054200543
DNN,14,HYP,Recall,0.7312775330396476
DNN,14,HYP,Specificity,0.8921518987341772
DNN,14,HYP,F1 score,0.5434782608695652
DNN,14,MI,Precision,0.38207547169811323
DNN,14,MI,Recall,0.3438914027149321
DNN,14,MI,Specificity,0.934010152284264
DNN,14,MI,F1 score,0.36930455635491605
DNN,14,STTC,Precision,0.5652173913043478
DNN,14,STTC,Recall,0.3409090909090909
DNN,14,STTC,Specificity,0.974090682610862
DNN,14,STTC,F1 score,0.43636363636363634
DNN,15,NORM,Precision,0.6274509803921569
DNN,15,NORM,Recall,0.9820485744456178
DNN,15,NORM,Specificity,0.5642683912691997
DNN,15,NORM,F1 score,0.7681660899653979
DNN,15,CD,Precision,0.482484076433121
DNN,15,CD,Recall,0.9110512129380054
DNN,15,CD,Specificity,0.8078602620087336
DNN,15,CD,F1 score,0.6345549738219896
DNN,15,HYP,Precision,0.42024539877300615
DNN,15,HYP,Recall,0.7316017316017316
DNN,15,HYP,Specificity,0.8921518987341772
DNN,15,HYP,F1 score,0.5440313111545988
DNN,15,MI,Precision,0.38285714285714284
DNN,15,MI,Recall,0.3459915611814346
DNN,15,MI,Specificity,0.9341772151898734
